order_id,product_id,qty,warehouse_id,discount,unit_price
1,183,1,WH005,4.08,3906.25
2,125,1,WH001,7.57,4093.75
2,14,1,WH004,7.57,2100.0
2,4,2,WH005,7.57,762.5
3,163,2,WH004,3.11,4237.5
3,104,1,WH002,3.11,1050.0
3,11,2,WH005,3.11,270.0
4,181,1,WH003,0.87,4837.5
4,183,2,WH002,0.87,3906.25
5,124,1,WH005,3.2,2610.0
6,143,1,WH002,2.46,3216.25
6,13,1,WH004,2.46,753.75
6,84,2,WH003,2.46,4798.75
7,88,1,WH001,18.28,2618.75
8,134,2,WH001,3.38,2395.0
9,30,2,WH001,2.88,1993.75
9,20,2,WH004,2.88,5300.0
9,66,2,WH004,2.88,5418.75
10,62,1,WH005,4.28,5380.0
10,118,2,WH003,4.28,1756.25
10,45,2,WH004,4.28,2052.5
11,167,2,WH002,4.59,4735.0
11,62,2,WH004,4.59,5380.0
11,75,2,WH004,4.59,3798.75
12,88,1,WH002,3.16,2618.75
13,143,1,WH005,3.64,3216.25
13,42,1,WH004,3.64,2981.25
13,124,1,WH005,3.64,2610.0
14,111,2,WH002,0.74,3273.75
15,118,1,WH004,4.99,1756.25
15,79,2,WH005,4.99,1150.0
15,35,1,WH001,4.99,3960.0
16,194,1,WH004,0.05,4181.25
16,12,1,WH004,0.05,4252.5
17,107,2,WH005,17.52,1817.5
17,58,1,WH001,17.52,3080.0
17,128,1,WH005,17.52,3023.75
18,153,1,WH004,2.52,5422.5
18,126,2,WH005,2.52,3383.75
19,89,1,WH004,3.08,3946.25
20,114,1,WH004,6.97,1047.5
20,121,2,WH003,6.97,4160.0
21,27,2,WH005,0.8,1006.25
21,70,2,WH004,0.8,3936.25
21,148,2,WH001,0.8,3310.0
22,34,1,WH001,1.67,231.25
22,48,2,WH002,1.67,4626.25
23,191,2,WH003,6.08,488.75
24,3,1,WH004,6.11,698.75
24,193,2,WH001,6.11,498.75
25,38,1,WH003,7.57,2081.25
25,120,2,WH004,7.57,5755.0
26,195,1,WH001,1.0,1918.75
26,185,2,WH002,1.0,3157.5
26,103,2,WH005,1.0,3536.25
27,67,1,WH002,1.15,2033.75
27,137,2,WH004,1.15,3605.0
28,57,2,WH002,2.33,4567.5
29,59,2,WH001,0.18,3628.75
30,65,1,WH002,3.27,446.25
31,195,1,WH001,1.17,1918.75
32,94,2,WH001,7.67,4435.0
33,69,2,WH002,4.61,6133.75
33,113,1,WH005,4.61,2206.25
33,135,2,WH001,4.61,1948.75
34,168,2,WH003,7.7,3942.5
34,95,2,WH003,7.7,2882.5
35,171,1,WH004,6.84,1956.25
36,183,1,WH004,1.62,3906.25
37,93,1,WH003,2.61,5316.25
37,186,1,WH005,2.61,5682.5
38,117,2,WH005,6.1,175.0
39,61,1,WH001,1.86,2878.75
39,153,2,WH005,1.86,5422.5
39,173,2,WH003,1.86,943.75
40,33,2,WH001,3.64,330.0
40,102,2,WH004,3.64,1455.0
40,189,2,WH001,3.64,303.75
41,24,2,WH005,7.09,3715.0
41,148,2,WH002,7.09,3310.0
42,188,1,WH002,5.45,3778.75
42,136,2,WH002,5.45,3903.75
42,80,1,WH004,5.45,3790.0
43,103,1,WH004,7.83,3536.25
43,76,1,WH005,7.83,1750.0
44,87,2,WH001,1.29,4213.75
44,52,2,WH003,1.29,5480.0
44,191,2,WH004,1.29,488.75
45,121,1,WH005,0.99,4160.0
45,126,1,WH001,0.99,3383.75
46,189,2,WH002,3.31,303.75
47,90,2,WH004,4.86,3583.75
47,53,1,WH002,4.86,1870.0
47,187,1,WH003,4.86,1955.0
48,17,2,WH004,15.98,1891.25
49,78,2,WH004,3.02,3572.5
50,191,1,WH004,1.04,488.75
50,80,2,WH004,1.04,3790.0
51,171,2,WH005,8.45,1956.25
51,92,2,WH003,8.45,535.0
51,24,2,WH004,8.45,3715.0
52,51,2,WH001,5.12,3847.5
52,107,2,WH003,5.12,1817.5
52,164,1,WH001,5.12,682.5
53,112,2,WH003,6.36,2015.0
53,127,1,WH002,6.36,4218.75
53,139,2,WH005,6.36,4201.25
54,147,1,WH003,0.65,1667.5
54,100,2,WH003,0.65,5491.25
55,78,2,WH004,2.71,3572.5
55,24,1,WH004,2.71,3715.0
56,104,2,WH005,3.03,1050.0
57,39,1,WH001,1.62,1483.75
57,131,2,WH003,1.62,858.75
57,101,1,WH003,1.62,5940.0
58,104,2,WH002,1.26,1050.0
58,29,1,WH001,1.26,1315.0
59,2,1,WH002,2.26,4421.25
59,85,2,WH004,2.26,6022.5
59,160,2,WH004,2.26,5316.25
60,104,2,WH004,1.06,1050.0
61,21,2,WH001,8.29,1895.0
62,61,2,WH003,9.93,2878.75
63,180,1,WH005,7.51,1368.75
63,164,1,WH001,7.51,682.5
63,78,1,WH003,7.51,3572.5
64,140,2,WH004,0.66,2480.0
64,1,1,WH002,0.66,1472.5
65,87,2,WH002,5.84,4213.75
66,76,2,WH004,5.92,1750.0
67,192,1,WH005,0.27,1267.5
67,76,1,WH002,0.27,1750.0
67,103,2,WH001,0.27,3536.25
