customer_id,order_date,order_status,delivery_date,shipping_method
532,2026-01-28 00:00:00,Confirmed,2026-01-30,Standard
781,2026-01-05 00:00:00,Pending,2026-01-05,Pickup
381,2026-01-02 00:00:00,Pending,2026-01-05,Express
177,2026-01-20 00:00:00,Shipped,2026-01-24,Express
374,2026-01-06 00:00:00,Delivered,2026-01-08,Express
209,2026-01-04 00:00:00,Delivered,2026-01-08,Standard
931,2026-01-10 00:00:00,Shipped,2026-01-10,Same Day
30,2026-01-27 00:00:00,Confirmed,2026-01-27,Same Day
36,2026-01-26 00:00:00,Pending,2026-01-30,Standard
48,2026-01-24 00:00:00,Delivered,2026-01-24,Pickup
103,2026-01-18 00:00:00,Confirmed,2026-01-20,Express
430,2026-01-01 00:00:00,Confirmed,2026-01-02,Express
476,2026-01-03 00:00:00,Pending,2026-01-03,Pickup
138,2026-01-14 00:00:00,Delivered,2026-01-14,Pickup
488,2026-01-28 00:00:00,Out for Delivery,2026-01-31,Standard
132,2026-01-16 00:00:00,Delivered,2026-01-16,Same Day
980,2026-01-11 00:00:00,Delivered,2026-01-11,Same Day
505,2026-01-20 00:00:00,Delivered,2026-01-24,Standard
225,2026-01-24 00:00:00,Delivered,2026-01-26,Express
676,2026-01-17 00:00:00,Pending,2026-01-19,Express
290,2026-01-03 00:00:00,Delivered,2026-01-03,Pickup
190,2026-01-20 00:00:00,Pending,2026-01-23,Express
728,2026-01-24 00:00:00,Delivered,2026-01-24,Same Day
779,2026-01-15 00:00:00,Delivered,2026-01-15,Same Day
678,2026-01-05 00:00:00,Confirmed,2026-01-05,Same Day
648,2026-01-05 00:00:00,Out for Delivery,2026-01-09,Standard
147,2026-01-02 00:00:00,Delivered,2026-01-03,Express
407,2026-01-21 00:00:00,Pending,2026-01-23,Express
496,2026-01-11 00:00:00,Pending,2026-01-11,Pickup
463,2026-01-28 00:00:00,Confirmed,2026-01-28,Pickup
559,2026-01-07 00:00:00,Shipped,2026-01-07,Same Day
672,2026-01-15 00:00:00,Pending,2026-01-15,Same Day
346,2026-01-25 00:00:00,Shipped,2026-01-25,Same Day
791,2026-01-06 00:00:00,Confirmed,2026-01-06,Pickup
782,2026-01-18 00:00:00,Shipped,2026-01-21,Standard
437,2026-01-17 00:00:00,Confirmed,2026-01-17,Same Day
233,2026-01-21 00:00:00,Pending,2026-01-22,Express
730,2026-01-15 00:00:00,Delivered,2026-01-20,Standard
315,2026-01-10 00:00:00,Pending,2026-01-10,Same Day
187,2026-01-15 00:00:00,Shipped,2026-01-20,Standard
861,2026-01-13 00:00:00,Delivered,2026-01-15,Express
752,2026-01-22 00:00:00,Confirmed,2026-01-24,Standard
881,2026-01-24 00:00:00,Confirmed,2026-01-29,Express
553,2026-01-17 00:00:00,Shipped,2026-01-17,Same Day
163,2026-01-08 00:00:00,Delivered,2026-01-11,Express
554,2026-01-04 00:00:00,Delivered,2026-01-06,Express
51,2026-01-20 00:00:00,Shipped,2026-01-23,Express
916,2026-01-13 00:00:00,Confirmed,2026-01-13,Pickup
1,2026-01-16 00:00:00,Shipped,2026-01-19,Express
214,2026-01-03 00:00:00,Confirmed,2026-01-03,Same Day
774,2026-01-24 00:00:00,Out for Delivery,2026-01-25,Standard
843,2026-01-14 00:00:00,Pending,2026-01-14,Pickup
806,2026-01-06 00:00:00,Delivered,2026-01-10,Express
606,2026-01-06 00:00:00,Out for Delivery,2026-01-06,Pickup
73,2026-01-07 00:00:00,Confirmed,2026-01-07,Same Day
144,2026-01-08 00:00:00,Cancelled,2026-01-08,Same Day
455,2026-01-13 00:00:00,Pending,2026-01-15,Express
12,2026-01-05 00:00:00,Delivered,2026-01-05,Same Day
537,2026-01-21 00:00:00,Pending,2026-01-21,Same Day
238,2026-01-04 00:00:00,Delivered,2026-01-04,Pickup
761,2026-01-22 00:00:00,Shipped,2026-01-27,Standard
897,2026-01-20 00:00:00,Shipped,2026-01-23,Standard
859,2026-01-09 00:00:00,Delivered,2026-01-13,Standard
437,2026-01-09 00:00:00,Pending,2026-01-09,Pickup
777,2026-01-19 00:00:00,Pending,2026-01-19,Pickup
750,2026-01-10 00:00:00,Confirmed,2026-01-11,Standard
248,2026-01-20 00:00:00,Cancelled,2026-01-20,Same Day
857,2026-01-28 00:00:00,Delivered,2026-01-28,Pickup
59,2026-01-23 00:00:00,Cancelled,2026-01-23,Pickup
863,2026-01-21 00:00:00,Pending,2026-01-21,Same Day
656,2026-01-24 00:00:00,Delivered,2026-01-24,Same Day
366,2026-01-17 00:00:00,Confirmed,2026-01-17,Same Day
249,2026-01-03 00:00:00,Pending,2026-01-03,Pickup
682,2026-01-19 00:00:00,Shipped,2026-01-19,Pickup
575,2026-01-09 00:00:00,Pending,2026-01-09,Pickup
622,2026-01-20 00:00:00,Delivered,2026-01-20,Pickup
44,2026-01-17 00:00:00,Delivered,2026-01-17,Pickup
98,2026-01-20 00:00:00,Pending,2026-01-25,Standard
595,2026-01-04 00:00:00,Cancelled,2026-01-07,Express
835,2026-01-22 00:00:00,Delivered,2026-01-22,Pickup
663,2026-01-13 00:00:00,Delivered,2026-01-16,Standard
588,2026-01-26 00:00:00,Shipped,2026-01-26,Pickup
833,2026-01-28 00:00:00,Shipped,2026-01-28,Pickup
686,2026-01-26 00:00:00,Out for Delivery,2026-01-26,Pickup
646,2026-01-01 00:00:00,Confirmed,2026-01-02,Express
822,2026-01-11 00:00:00,Pending,2026-01-11,Pickup
368,2026-01-01 00:00:00,Delivered,2026-01-01,Same Day
997,2026-01-27 00:00:00,Delivered,2026-01-27,Same Day
470,2026-01-08 00:00:00,Confirmed,2026-01-11,Standard
788,2026-01-23 00:00:00,Returned,2026-01-23,Same Day
759,2026-01-26 00:00:00,Pending,2026-01-26,Same Day
878,2026-01-13 00:00:00,Delivered,2026-01-17,Express
849,2026-01-03 00:00:00,Confirmed,2026-01-06,Express
321,2026-01-10 00:00:00,Pending,2026-01-14,Standard
208,2026-01-20 00:00:00,Shipped,2026-01-24,Express
360,2026-01-09 00:00:00,Delivered,2026-01-09,Pickup
773,2026-01-11 00:00:00,Delivered,2026-01-11,Same Day
17,2026-01-06 00:00:00,Cancelled,2026-01-06,Same Day
931,2026-01-04 00:00:00,Pending,2026-01-04,Same Day
775,2026-01-17 00:00:00,Delivered,2026-01-17,Same Day
634,2026-01-18 00:00:00,Shipped,2026-01-18,Pickup
729,2026-01-23 00:00:00,Pending,2026-01-24,Standard
873,2026-01-20 00:00:00,Delivered,2026-01-20,Pickup
546,2026-01-09 00:00:00,Pending,2026-01-09,Same Day
107,2026-01-12 00:00:00,Confirmed,2026-01-12,Pickup
629,2026-01-28 00:00:00,Cancelled,2026-01-28,Same Day
231,2026-01-19 00:00:00,Cancelled,2026-01-19,Same Day
159,2026-01-15 00:00:00,Delivered,2026-01-20,Express
230,2026-01-22 00:00:00,Returned,2026-01-26,Standard
897,2026-01-27 00:00:00,Delivered,2026-01-29,Express
13,2026-01-08 00:00:00,Shipped,2026-01-10,Express
495,2026-01-10 00:00:00,Confirmed,2026-01-15,Standard
191,2026-01-27 00:00:00,Shipped,2026-01-31,Express
643,2026-01-28 00:00:00,Shipped,2026-01-28,Pickup
765,2026-01-19 00:00:00,Delivered,2026-01-19,Pickup
823,2026-01-09 00:00:00,Delivered,2026-01-09,Same Day
374,2026-01-26 00:00:00,Confirmed,2026-01-26,Same Day
79,2026-01-08 00:00:00,Confirmed,2026-01-08,Same Day
593,2026-01-23 00:00:00,Pending,2026-01-28,Express
549,2026-01-05 00:00:00,Pending,2026-01-05,Pickup
735,2026-01-11 00:00:00,Pending,2026-01-14,Express
276,2026-01-23 00:00:00,Out for Delivery,2026-01-27,Express
634,2026-01-19 00:00:00,Delivered,2026-01-19,Pickup
67,2026-01-15 00:00:00,Shipped,2026-01-15,Pickup
573,2026-01-06 00:00:00,Pending,2026-01-06,Pickup
489,2026-01-21 00:00:00,Pending,2026-01-21,Same Day
67,2026-01-28 00:00:00,Delivered,2026-01-31,Standard
971,2026-01-24 00:00:00,Confirmed,2026-01-24,Same Day
442,2026-01-24 00:00:00,Pending,2026-01-24,Pickup
221,2026-01-23 00:00:00,Delivered,2026-01-27,Express
339,2026-01-22 00:00:00,Shipped,2026-01-22,Same Day
148,2026-01-08 00:00:00,Out for Delivery,2026-01-08,Pickup
884,2026-01-25 00:00:00,Shipped,2026-01-25,Same Day
602,2026-01-01 00:00:00,Cancelled,2026-01-04,Standard
66,2026-01-04 00:00:00,Delivered,2026-01-09,Standard
255,2026-01-17 00:00:00,Shipped,2026-01-19,Express
31,2026-01-20 00:00:00,Delivered,2026-01-22,Express
92,2026-01-21 00:00:00,Delivered,2026-01-24,Standard
825,2026-01-04 00:00:00,Delivered,2026-01-04,Pickup
142,2026-01-14 00:00:00,Confirmed,2026-01-14,Pickup
364,2026-01-28 00:00:00,Confirmed,2026-01-31,Standard
512,2026-01-06 00:00:00,Delivered,2026-01-06,Same Day
206,2026-01-03 00:00:00,Pending,2026-01-03,Pickup
463,2026-01-08 00:00:00,Confirmed,2026-01-11,Standard
21,2026-01-25 00:00:00,Pending,2026-01-25,Same Day
98,2026-01-20 00:00:00,Pending,2026-01-23,Standard
