order_id,payment_type,payment_status,payment_date
1,Cash,Paid,2026-01-29 00:00:00
2,UPI,Paid,2026-01-07 00:00:00
3,Cash,Paid,2026-01-04 00:00:00
4,Card,Paid,2026-01-22 00:00:00
5,Card,Paid,2026-01-07 00:00:00
6,Card,Pending,2026-01-05 00:00:00
7,Card,Paid,2026-01-11 00:00:00
8,UPI,Paid,2026-01-28 00:00:00
9,Card,Paid,2026-01-26 00:00:00
10,Cash,Paid,2026-01-26 00:00:00
11,Cash,Paid,2026-01-20 00:00:00
12,Cash,Paid,2026-01-01 00:00:00
13,Cash,Paid,2026-01-05 00:00:00
14,Card,Paid,2026-01-16 00:00:00
15,Card,Paid,2026-01-30 00:00:00
16,Card,Paid,2026-01-18 00:00:00
17,UPI,Paid,2026-01-11 00:00:00
18,Cash,Paid,2026-01-22 00:00:00
19,Card,Paid,2026-01-25 00:00:00
20,Card,Paid,2026-01-19 00:00:00
21,UPI,Paid,2026-01-03 00:00:00
22,Cash,Refunded,2026-01-20 00:00:00
23,Cash,Pending,2026-01-25 00:00:00
24,Card,Paid,2026-01-15 00:00:00
25,Cash,Paid,2026-01-07 00:00:00
26,UPI,Paid,2026-01-06 00:00:00
27,Cash,Paid,2026-01-04 00:00:00
28,Cash,Paid,2026-01-21 00:00:00
29,Cash,Paid,2026-01-12 00:00:00
30,Card,Paid,2026-01-28 00:00:00
31,Card,Paid,2026-01-09 00:00:00
32,Cash,Paid,2026-01-17 00:00:00
33,Cash,Paid,2026-01-27 00:00:00
34,Cash,Paid,2026-01-06 00:00:00
35,Card,Paid,2026-01-19 00:00:00
36,Cash,Pending,2026-01-19 00:00:00
37,UPI,Paid,2026-01-23 00:00:00
38,UPI,Paid,2026-01-15 00:00:00
39,Card,Paid,2026-01-12 00:00:00
40,Cash,Paid,2026-01-16 00:00:00
41,Cash,Paid,2026-01-15 00:00:00
42,Cash,Paid,2026-01-23 00:00:00
43,Card,Paid,2026-01-26 00:00:00
44,Cash,Paid,2026-01-19 00:00:00
45,Cash,Paid,2026-01-08 00:00:00
46,Cash,Paid,2026-01-06 00:00:00
47,UPI,Paid,2026-01-22 00:00:00
48,Cash,Paid,2026-01-13 00:00:00
49,Card,Paid,2026-01-18 00:00:00
50,Card,Paid,2026-01-05 00:00:00
51,Card,Paid,2026-01-26 00:00:00
52,Cash,Paid,2026-01-14 00:00:00
53,UPI,Paid,2026-01-08 00:00:00
54,UPI,Paid,2026-01-06 00:00:00
55,Cash,Paid,2026-01-08 00:00:00
56,Cash,Paid,2026-01-08 00:00:00
57,UPI,Paid,2026-01-13 00:00:00
58,Card,Paid,2026-01-05 00:00:00
59,Cash,Paid,2026-01-23 00:00:00
60,Cash,Paid,2026-01-06 00:00:00
61,Cash,Paid,2026-01-23 00:00:00
62,UPI,Paid,2026-01-21 00:00:00
63,Card,Paid,2026-01-09 00:00:00
64,Card,Paid,2026-01-09 00:00:00
65,Card,Paid,2026-01-19 00:00:00
66,Cash,Paid,2026-01-11 00:00:00
67,UPI,Paid,2026-01-22 00:00:00
68,Cash,Paid,2026-01-30 00:00:00
69,Card,Paid,2026-01-23 00:00:00
70,UPI,Paid,2026-01-21 00:00:00
71,UPI,Paid,2026-01-25 00:00:00
72,UPI,Paid,2026-01-18 00:00:00
73,Card,Paid,2026-01-03 00:00:00
74,UPI,Paid,2026-01-20 00:00:00
75,Cash,Paid,2026-01-09 00:00:00
76,Cash,Paid,2026-01-22 00:00:00
77,Card,Paid,2026-01-19 00:00:00
78,Cash,Paid,2026-01-20 00:00:00
79,Card,Paid,2026-01-05 00:00:00
80,Cash,Paid,2026-01-23 00:00:00
81,Cash,Paid,2026-01-13 00:00:00
82,Card,Paid,2026-01-28 00:00:00
83,Card,Paid,2026-01-30 00:00:00
84,Cash,Paid,2026-01-26 00:00:00
85,Card,Paid,2026-01-02 00:00:00
86,Cash,Paid,2026-01-12 00:00:00
87,UPI,Paid,2026-01-01 00:00:00
88,Card,Paid,2026-01-28 00:00:00
89,Card,Paid,2026-01-09 00:00:00
90,Card,Paid,2026-01-25 00:00:00
91,Cash,Paid,2026-01-27 00:00:00
92,Cash,Paid,2026-01-13 00:00:00
93,Card,Paid,2026-01-04 00:00:00
94,Cash,Paid,2026-01-12 00:00:00
95,Card,Paid,2026-01-21 00:00:00
96,Cash,Paid,2026-01-11 00:00:00
97,Cash,Paid,2026-01-13 00:00:00
98,UPI,Paid,2026-01-08 00:00:00
99,Cash,Paid,2026-01-04 00:00:00
100,UPI,Paid,2026-01-19 00:00:00
101,Cash,Paid,2026-01-20 00:00:00
102,UPI,Paid,2026-01-24 00:00:00
103,Card,Paid,2026-01-20 00:00:00
104,Cash,Paid,2026-01-10 00:00:00
105,Cash,Paid,2026-01-14 00:00:00
106,UPI,Paid,2026-01-29 00:00:00
107,Cash,Paid,2026-01-21 00:00:00
108,Cash,Paid,2026-01-15 00:00:00
109,Cash,Paid,2026-01-22 00:00:00
110,Card,Paid,2026-01-28 00:00:00
111,Card,Paid,2026-01-09 00:00:00
112,Card,Paid,2026-01-11 00:00:00
113,Cash,Paid,2026-01-28 00:00:00
114,Card,Paid,2026-01-29 00:00:00
115,Card,Paid,2026-01-21 00:00:00
116,Card,Paid,2026-01-10 00:00:00
117,UPI,Paid,2026-01-26 00:00:00
118,Cash,Paid,2026-01-09 00:00:00
119,Card,Paid,2026-01-24 00:00:00
120,Cash,Paid,2026-01-06 00:00:00
121,Card,Paid,2026-01-11 00:00:00
122,Cash,Paid,2026-01-24 00:00:00
123,UPI,Paid,2026-01-20 00:00:00
124,Cash,Paid,2026-01-15 00:00:00
125,Card,Paid,2026-01-08 00:00:00
126,Cash,Paid,2026-01-21 00:00:00
127,Cash,Paid,2026-01-28 00:00:00
128,Cash,Paid,2026-01-26 00:00:00
129,Cash,Paid,2026-01-24 00:00:00
130,Cash,Paid,2026-01-24 00:00:00
131,Card,Refunded,2026-01-22 00:00:00
132,Card,Paid,2026-01-08 00:00:00
133,Cash,Paid,2026-01-25 00:00:00
134,Cash,Paid,2026-01-03 00:00:00
135,Card,Failed,2026-01-06 00:00:00
136,Card,Paid,2026-01-17 00:00:00
137,Card,Paid,2026-01-21 00:00:00
138,Cash,Paid,2026-01-23 00:00:00
139,UPI,Paid,2026-01-04 00:00:00
140,Cash,Paid,2026-01-15 00:00:00
141,Cash,Paid,2026-01-30 00:00:00
142,Card,Failed,2026-01-07 00:00:00
143,Cash,Paid,2026-01-04 00:00:00
144,Cash,Paid,2026-01-10 00:00:00
145,Card,Paid,2026-01-25 00:00:00
146,Card,Paid,2026-01-21 00:00:00
147,Card,Paid,2026-01-08 00:00:00
148,Cash,Paid,2026-01-15 00:00:00
149,UPI,Paid,2026-01-05 00:00:00
150,UPI,Paid,2026-01-06 00:00:00
151,Cash,Paid,2026-01-30 00:00:00
152,Cash,Paid,2026-01-19 00:00:00
153,Card,Paid,2026-01-29 00:00:00
154,Card,Paid,2026-01-28 00:00:00
155,Cash,Paid,2026-01-18 00:00:00
156,Card,Paid,2026-01-10 00:00:00
157,Cash,Paid,2026-01-07 00:00:00
158,Cash,Paid,2026-01-21 00:00:00
159,Cash,Paid,2026-01-16 00:00:00
160,Card,Paid,2026-01-17 00:00:00
161,Cash,Paid,2026-01-14 00:00:00
162,Cash,Paid,2026-01-26 00:00:00
